variable2,variable3,variable8,variable9,variable10,variable11,variable14,variable15,variable17,classLabel,variable1_na,variable2_na,variable4_na,variable5_na,variable14_na,variable17_na,variable18_na,variable1_a,variable1_b,variable4_l,variable4_u,variable4_y,variable5_g,variable5_gg,variable5_p,variable13_g,variable13_p,variable13_s,variable18_f,variable18_t
17.92,5.4000000000000005e-05,1.75,0,0,1,80.0,5,800000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,0,1
16.92,3.35e-05,0.29,0,1,0,200.0,0,2000000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,0,0,1,0,0
31.25,0.0001125,0.0,0,0,1,96.0,19,960000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,0,1
48.17,0.0001335,0.335,0,1,0,0.0,120,0,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
32.33,0.00035,0.5,0,1,0,232.0,0,2320000,0,False,False,False,False,False,False,False,0,1,0,1,0,1,0,0,1,0,0,1,0
34.83,0.000125,0.5,0,1,0,160.0,0,1600000,0,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
26.17,0.0002,0.0,0,1,0,276.0,1,2760000,0,False,False,False,False,False,False,True,1,0,0,1,0,1,0,0,1,0,0,0,0
21.17,8.75e-05,0.25,0,1,0,280.0,204,2800000,0,False,False,False,False,False,False,True,0,1,0,0,1,0,0,1,1,0,0,0,0
28.92,3.75e-05,0.29,0,1,0,220.0,140,2200000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
18.17,0.001025,1.085,0,1,0,320.0,13,3200000,0,False,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0
24.75,0.0013664999999999999,1.5,0,1,0,280.0,1,2800000,0,False,False,False,False,False,False,False,1,0,0,1,0,1,0,0,1,0,0,1,0
31.75,0.0003,0.0,0,1,0,160.0,20,1600000,0,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
18.17,0.001,0.165,0,1,0,340.0,0,3400000,0,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,1,0,0,1,0
